Company Name,Industry,Sector,Country,Risk Level,Founding Year,Annual Revenue 2022-2023 (USD in Billions),Market Cap (USD in Billions),Employee Size,Dividend Yield,% Growth over last year
NVIDIA,Semiconductors,Information Technology,USA,Medium,1993,79.774,316,29600,0.00,2.03
Tesla,Automotive,Consumer Discretionary,USA,High,2003,94.745,79,140473,0.03,1.25
Meta Platforms (Facebook),Technology,Information Technology,USA,Medium,2004,142.711,129,69329,0.00,0.95
Roper Technologies,Technology,Electronic Components,USA,Medium,1890,5.61,46,19300,0.00,0.72
Netflix,Entertainment,Communication Services,USA,Medium,1997,34.932234,29,13000,0.00,0.72
Micron Technology,Technology,Semiconductors,USA,Medium,1978,27.15,64,49000,0.01,0.66
HP Inc.,Technology,Computer Hardware,USA,High,1939,59.78,28,51000,0.00,0.62
IQVIA Holdings,Technology,Software Application,USA,High,1982,14.41,37,85000,0.01,0.62
Autodesk Inc.,Technology,Software Application,USA,High,1982,5,45,12600,0.00,0.62
PayPal Holdings Inc.,Technology,Software Infrastructure,USA,High,1998,27.51,87,29900,0.00,0.62
Uber,Transportation Technology,Industrials,USA,High,2009,38.589,15,32000,0.00,0.62
Oracle,Technology,Information Technology,USA,Low,1977,52.961,40,164000,0.01,0.55
First Quantum Minerals Ltd.,Mining,Basic Materials,Canada,High,1983,6.4,16,20600,0.02,0.51
Lam Research Corporation,Technology,Semiconductors,USA,Medium,1980,19.04,69,18700,0.01,0.50
Advanced Micro Devices (AMD) Inc.,Technology,Semiconductors,USA,Medium,1969,23.6,155,25000,0.00,0.49
Lundin Mining Corp.,Mining,Basic Materials,Canada,Medium,1994,2.77,7,9200,0.04,0.48
Novo Nordisk,Pharmaceuticals,Health Care,Denmark,Low,1923,35.45750253,62,66015,0.01,0.44
Microsoft,Technology,Information Technology,USA,Low,1975,236.584,342,221000,0.01,0.41
Snowflake Inc.,Technology,Software Application,USA,Low,2012,2.06,46,4991,0.01,0.41
Agnico Eagle Mines Ltd.,Mining,Basic Materials,Canada,Medium,1957,6.6,29,11200,0.03,0.38
Eli Lilly,Pharmaceuticals,Health Care,USA,Low,1876,35.9321,81,43000,0.01,0.36
Alphabet (Google),Technology,Software Infrastructure,USA,Low,1998,282.83,1350,190234,0.00,0.34
Salesforce Inc.,Technology,Software Application,USA,Low,1999,31.35,189,73541,0.00,0.34
Alamos Gold Inc. Class A,Mining,Basic Materials,Canada,Medium,2003,0.82,4,1700,0.01,0.33
General Electric,Conglomerate,Industrials,USA,Medium,1892,69.52,18,125000,0.00,0.29
Apple Inc.,Technology,Consumer Electronics,USA,Low,1976,387.53,2520,164000,0.00,0.29
Manulife Financial Corp.,Financial Services,Financials,Canada,Low,1887,48.8,37,37000,0.05,0.27
TSMC (Taiwan Semiconductor Manufacturing Company),Semiconductors,Information Technology,Taiwan,Low,1987,73.86798726,95,76478,0.01,0.24
Intuitive Surgical,Medical Devices,Health Care,USA,Low,1995,7.3185,15,12120,0.00,0.24
Mastercard,Financial Services,Financials,USA,Low,1966,25.698,42,33400,0.00,0.24
SAP,Software,Information Technology,Germany,Low,1972,34.43302767,24,108133,0.01,0.24
Adobe Inc.,Technology,Software Infrastructure,USA,Low,1982,17.6,247,29239,0.00,0.24
IBM Corporation,Technology,IT Services,USA,Medium,1911,60.52,113,345000,0.00,0.22
Micron Technology,Semiconductors,Information Technology,USA,Medium,1978,18.312,15,43000,0.00,0.22
Palo Alto Networks Inc.,Technology,Software Infrastructure,USA,Low,2005,6.15,59,12561,0.00,0.22
Dell Technologies Inc.,Technology,Computer Hardware,USA,Medium,1984,102.3,28,133000,0.00,0.21
Booking Holdings,Technology,Software Application,USA,Medium,1996,17.09,97,20700,0.00,0.21
VMware Inc.,Technology,Software Infrastructure,USA,Medium,1998,13.34,51,37500,0.00,0.21
Fortinet Inc.,Technology,Software Infrastructure,USA,Medium,2000,4.41,49,11508,0.00,0.21
